barcode,x,y,original_cluster,refined_mclust_seed_141,refined_mclust_seed_549,refined_mclust_seed_75,refined_mclust_seed_492,refined_mclust_seed_676,refined_mclust_seed_179,refined_mclust_seed_587,refined_mclust_seed_592,refined_mclust_seed_601,refined_mclust_seed_916,refined_mclust_seed_518,refined_mclust_seed_339,refined_mclust_seed_921,refined_mclust_seed_423,refined_mclust_seed_330,refined_mclust_seed_388,refined_mclust_seed_273,refined_mclust_seed_286,refined_mclust_seed_61,refined_mclust_seed_807,refined_mclust_seed_283,refined_mclust_seed_127,refined_mclust_seed_165,refined_mclust_seed_952,refined_mclust_seed_311,refined_mclust_seed_597,refined_mclust_seed_473,refined_mclust_seed_594,refined_mclust_seed_605,refined_mclust_seed_101
0,537.743865677316,83.6366767108928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,557.017219099102,83.6366767108928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,576.290572520888,83.6366767108928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,595.563925942673,83.6366767108928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,846.117520425885,83.6366767108928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,865.39087384767,83.6366767108928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,499.197158833745,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,518.470512255531,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,537.743865677316,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,557.017219099102,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,576.290572520888,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,595.563925942673,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,614.837279364459,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,634.110632786244,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,807.570813582314,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,826.844167004099,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,846.117520425885,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,865.39087384767,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,884.664227269456,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,903.937580691241,102.910030132678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,479.92380541196,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,499.197158833745,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,518.470512255531,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,537.743865677316,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,557.017219099102,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,576.290572520888,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,595.563925942673,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,614.837279364459,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,634.110632786244,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,653.38398620803,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,788.297460160528,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,807.570813582314,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,826.844167004099,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,846.117520425885,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,865.39087384767,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,884.664227269456,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,903.937580691241,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,923.210934113027,122.183383554464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,460.650451990174,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,479.92380541196,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,499.197158833745,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,518.470512255531,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,537.743865677316,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,557.017219099102,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,576.290572520888,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,595.563925942673,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,614.837279364459,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,634.110632786244,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,653.38398620803,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,672.657339629815,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,769.024106738743,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,788.297460160528,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,807.570813582314,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,826.844167004099,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,884.664227269456,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,903.937580691241,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,923.210934113027,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,942.484287534812,141.456736976249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,441.377098568389,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,460.650451990174,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,479.92380541196,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,499.197158833745,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,614.837279364459,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,634.110632786244,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,653.38398620803,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,672.657339629815,160.730090398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
