barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
0,537.743865677316,83.6366767108928,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
1,557.017219099102,83.6366767108928,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
2,576.290572520888,83.6366767108928,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
3,595.563925942673,83.6366767108928,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
4,846.117520425885,83.6366767108928,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
5,865.39087384767,83.6366767108928,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
6,499.197158833745,102.910030132678,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
7,518.470512255531,102.910030132678,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
8,537.743865677316,102.910030132678,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
9,557.017219099102,102.910030132678,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
10,576.290572520888,102.910030132678,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
11,595.563925942673,102.910030132678,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
12,614.837279364459,102.910030132678,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
13,634.110632786244,102.910030132678,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
14,807.570813582314,102.910030132678,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
15,826.844167004099,102.910030132678,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
16,846.117520425885,102.910030132678,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
17,865.39087384767,102.910030132678,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
18,884.664227269456,102.910030132678,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
19,903.937580691241,102.910030132678,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
20,479.92380541196,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
21,499.197158833745,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
22,518.470512255531,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
23,537.743865677316,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
24,557.017219099102,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
25,576.290572520888,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
26,595.563925942673,122.183383554464,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
27,614.837279364459,122.183383554464,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
28,634.110632786244,122.183383554464,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
29,653.38398620803,122.183383554464,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,1,1,2,2,1,1,1,1,1,1,1
30,788.297460160528,122.183383554464,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
31,807.570813582314,122.183383554464,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
32,826.844167004099,122.183383554464,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
33,846.117520425885,122.183383554464,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
34,865.39087384767,122.183383554464,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
35,884.664227269456,122.183383554464,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
36,903.937580691241,122.183383554464,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
37,923.210934113027,122.183383554464,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
38,460.650451990174,141.456736976249,6,5,5,4,4,6,1,1,1,5,4,6,4,4,4,5,1,7,2,3,5,2,1,7,4,1,3,2,6,6,6
39,479.92380541196,141.456736976249,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,4,1,1,2,1,1,1
40,499.197158833745,141.456736976249,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
41,518.470512255531,141.456736976249,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
42,537.743865677316,141.456736976249,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
43,557.017219099102,141.456736976249,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
44,576.290572520888,141.456736976249,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
45,595.563925942673,141.456736976249,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
46,614.837279364459,141.456736976249,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
47,634.110632786244,141.456736976249,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
48,653.38398620803,141.456736976249,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,1,1,2,2,1,1,1,1,1,1,1
49,672.657339629815,141.456736976249,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,1,2,2,1,1,1,1,1,1,1
50,769.024106738743,141.456736976249,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,2,4,3
51,788.297460160528,141.456736976249,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
52,807.570813582314,141.456736976249,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
53,826.844167004099,141.456736976249,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
54,884.664227269456,141.456736976249,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
55,903.937580691241,141.456736976249,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
56,923.210934113027,141.456736976249,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
57,942.484287534812,141.456736976249,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
58,441.377098568389,160.730090398035,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,5,5,2,6,7,4,5,3,2,6,6,6
59,460.650451990174,160.730090398035,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,5,5,2,6,7,4,5,3,2,6,6,6
60,479.92380541196,160.730090398035,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,3,5,2,6,7,4,5,3,2,6,6,6
61,499.197158833745,160.730090398035,6,5,5,4,4,6,4,1,1,5,4,6,4,4,1,2,1,7,5,3,5,2,1,2,4,1,3,2,6,6,6
62,614.837279364459,160.730090398035,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,1,1,1,2,1,1,1,1,1,1,1
63,634.110632786244,160.730090398035,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,1,1,2,2,1,1,1,1,1,1,1
64,653.38398620803,160.730090398035,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,2,1,1,2,2,1,1,1,1,1,1,1
65,672.657339629815,160.730090398035,4,2,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,4,2,2,1,1,2,2,1,1,1,1,1,1,1
66,769.024106738743,160.730090398035,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,2,3,2,2,2,3,3,4,3
67,788.297460160528,160.730090398035,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,2,4,3
68,807.570813582314,160.730090398035,4,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
69,903.937580691241,160.730090398035,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
70,923.210934113027,160.730090398035,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3
71,942.484287534812,160.730090398035,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,4,2,3,3,3,7
72,961.757640956598,160.730090398035,1,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,7
73,422.103745146603,180.00344381982,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,5,5,2,6,7,4,5,3,2,8,6,6
74,441.377098568389,180.00344381982,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,5,5,2,6,7,4,5,3,2,6,6,6
75,460.650451990174,180.00344381982,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,5,5,2,6,7,4,5,3,2,6,6,6
76,479.92380541196,180.00344381982,10,5,5,4,4,6,4,4,5,5,4,6,4,4,4,5,5,7,5,5,5,2,6,7,4,5,3,2,6,6,6
77,634.110632786244,180.00344381982,4,2,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,4,2,2,1,1,2,2,1,1,1,1,1,1,1
78,653.38398620803,180.00344381982,4,2,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,4,2,2,1,1,7,2,1,1,1,1,1,1,6
79,672.657339629815,180.00344381982,4,2,1,1,1,1,1,1,1,1,1,2,1,4,1,2,1,4,2,2,1,1,7,2,1,1,1,1,1,1,6
80,691.930693051601,180.00344381982,4,2,1,1,1,1,1,1,1,3,1,2,1,3,2,2,1,4,2,2,3,1,7,2,1,1,1,1,1,1,6
81,749.750753316957,180.00344381982,4,2,2,1,2,1,2,2,3,3,5,2,2,3,2,3,3,4,3,2,3,3,2,3,2,2,9,3,2,4,3
82,769.024106738743,180.00344381982,4,2,2,2,2,1,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2,3,2,3,2,2,2,3,2,4,3
